B-V;Vmag;log.Teff;logL;Age;Mass
 1.580;14.070; 3.664; 1.20; 1.12e+09;  1.88
 1.690;14.090; 3.642; 1.26; 2.64e+09;  1.40
 1.500;14.100; 3.680; 1.16; 7.03e+08;  2.06
 0.670;14.120; 3.881; 1.00; 5.61e+08;  1.73
 1.790;14.140; 3.621; 1.32; 8.82e+09;  1.01
 1.450;14.150; 3.690; 1.11; 7.20e+08;  2.04
 1.510;14.200; 3.678; 1.12; 7.73e+08;  1.99
 0.640;14.300; 3.892; 0.93; 3.39e+08;  1.68
 1.490;14.340; 3.682; 1.06; 8.68e+08;  1.92
 0.690;14.350; 3.873; 0.91; 5.56e+08;  1.64
 0.790;14.450; 3.837; 0.87; 9.40e+08;  1.59
 0.790;14.450; 3.837; 0.87; 1.15e+09;  1.54
 0.790;14.450; 3.837; 0.87; 1.42e+09;  1.48
 0.690;14.460; 3.873; 0.86; 4.88e+08;  1.61
 0.850;14.500; 3.819; 0.85; 1.74e+09;  1.44
 0.580;14.500; 3.918; 0.87;-2.60e+08;  1.69
